pid,name,gender,price,type,inventory_amount,color,size
10010,Nam Curae,f,76,wool coat,25,Black,small
10048,Suspendisse,f,195,wool coat,20,Black,small
10052,hymenaeos arcu,f,52,wool coat,12,Blue,small
10082,cursus Praesent,f,93,wool coat,7,Green,small
10093,condimentum,f,107,wool coat,25,Red,small
10107,ultricies,f,89,wool coat,37,Green,small
10117,blandit hendrerit,f,79,wool coat,46,White,small
10144,adipiscing,f,61,wool coat,42,Black,small
10151,nisi,f,87,wool coat,14,Green,small
10181,accumsan,f,97,wool coat,15,Red,medium
10199,mollis cubilia,f,111,wool coat,42,Red,medium
10202,sociis,f,84,wool coat,49,Yellow,medium
10209,montes euismod,f,132,wool coat,47,Red,medium
10220,semper,f,128,wool coat,10,Blue,large
10254,Praesent,f,132,wool coat,21,Blue,large
10261,dui,f,95,wool coat,39,White,large
10323,in,m,21,wool coat,23,Black,medium
10340,tincidunt mauris,m,96,wool coat,39,White,medium
10350,tellus,m,25,wool coat,6,Black,medium
10353,facilisis ipsum,m,103,wool coat,42,Green,medium
10359,orci,m,72,wool coat,6,Blue,medium
10372,Donec,m,143,wool coat,19,Red,large
10397,aptent,m,6,wool coat,12,Black,large
10426,pharetra,m,80,wool coat,7,Black,small
10438,Integer,m,31,wool coat,10,Black,small
10451,nibh,m,8,wool coat,38,Black,medium
10458,Praesent,m,199,wool coat,15,Black,small
10473,hendrerit,m,25,wool coat,20,Black,large
10507,penatibus nisi,m,108,wool coat,50,Black,medium
10522,Aliquam,m,114,wool coat,39,Black,medium
10535,neque vitae,m,155,wool coat,20,Black,medium
10537,habitant,m,83,wool coat,18,Black,small
10565,hendrerit erat,m,20,wool coat,32,Black,medium
10581,litora,m,161,wool coat,42,Black,medium
10588,nunc,m,18,wool coat,22,Black,medium
10598,commodo amet,m,64,wool coat,47,Black,medium
